Handle,Title,Body (HTML),Variant Price,Image Src,base_price,Demand ,Season,category,Vendor,Subcategory
Bronzer,Bobbi Brown,"Our must-have Bronzer Brush now features luxuriously soft bristles and a more rounded brush head to provide smoother, more even application of bronzer. Perfect for use with our popular Illuminating Bronzing Powder and Bronzing Powder.",29,https://www.temptalia.com/wp-content/uploads/2013/06/bobbibrown_2013bronzerblushduo010.jpg,45.95,Normal,None,Beauty,Bobbi Brown,Women
Bronzing Powder,Bobbi Brown,"This soft matte, silky-smooth bronzer instantly gives skin the look of a natural tan. Bobbi suggests using Bronzing Powder year round to get a sun-kissed look.",29,https://www.temptalia.com/wp-content/uploads/2012/08/bobbibrown_bahamapeony001.jpg,137.85,Normal,None,Beauty,Bobbi Brown,Women
Everything Mascara,Bobbi Brown,"An everyday essential for lashes. Bobbi Brown Everything Mascara has an innovative, all-in-one formula that lengthens, thickens, and defines - without smearing, smudging or clumping.Â ",29,https://www.temptalia.com/wp-content/uploads/2013/05/bobbibrown_everything.jpg,275.7,Normal,None,Beauty,Bobbi Brown,Women
Ink Eyeliner,Bobbi Brown,"Bobbi Brown Ink Eyeliner is a Eyeliner that retails for $24.00 and contains 0.03 oz. There are 1 shades that have been released, which you can select from below.",,https://www.temptalia.com/wp-content/uploads/2012/03/bobbibrown_reallyblack001.jpg,183.8,Normal,None,Beauty,Bobbi Brown,Women
Long-Wear Cream Eyeshadow,Bobbi Brown,Velvety-smooth formula that goes on easily - and lasts all day without creasing or smearing. Fragrance free. Safe for contact lens wearers. Ophthalmologist tested.,,https://www.temptalia.com/wp-content/uploads/2012/06/bobbibrown_berrynoir001.jpg,91.9,Normal,None,Beauty,Bobbi Brown,Women
Long-Wear Eye Pencil,Bobbi Brown,"The wait is over: for those who want the benefits of Bobbi's Long-Wear Gel Eyeliner in pencil form, here it is. This richly pigmented formula really goes the distance, staying put for 12 hours. Long-Wear Eye Pencil's densely pigmented formula glides on smoothly, for intense definition that lasts all day, so there's no need to worry about smudging or smearing. Apply in the morning and wear it into the night. Each pencil comes with a complimentary sharpener.",99.95,https://www.temptalia.com/wp-content/uploads/2012/05/bobbibrown_longweareyepencils004.jpg,137.85,Normal,None,Beauty,Bobbi Brown,Women
Long-Wear Gel Eyeliner,Bobbi Brown,"Long-wearing, water-resistant color glides on & let's you get it just right before it dries - then stays without a smear or crease.",99.95,https://www.temptalia.com/wp-content/uploads/2012/08/bobbibrown_twilightnight001.jpg,445.85,Normal,None,Beauty,Bobbi Brown,Women
Nail Lacquer,Bobbi Brown,"Punctuate your look with long-lasting color for perfectly polished fingers (and toes). Done in rich, matte shades that dry to a lustrous finish, this polish is the ultimate accessory for nails, day and night.",99.95,https://www.temptalia.com/wp-content/uploads/2012/08/bobbibrown_turquoiselacquer001.jpg,239.94,Normal,None,Beauty,Bobbi Brown,Women
Rich Color Gloss,Bobbi Brown,"Rich Color Gloss has the full color coverage of a lipstick, the soft shine of a gloss, and the luxurious feel of a balm. It moisturizes, conditions, and lasts throughout the day without feathering, plus the new tapered applicator lets you apply it like a pro.",99.95,https://www.temptalia.com/wp-content/uploads/2012/03/bobbibrown_pinkcocoa001.jpg,759.81,Normal,None,Beauty,Bobbi Brown,Women
Rich Lip Color,Bobbi Brown,"Bright, get-noticed color. Lightweight, yet intense, Bobbi's latest formula combines pigments with a clear base to deliver pure, crisp color with just one swipe. Plus, it's creamy and moisturizing, so lips feel as good as they look.",99.95,https://www.temptalia.com/wp-content/uploads/2012/02/bobbibrown_miamicoral001.jpg,719.82,Normal,None,Beauty,Bobbi Brown,Women
